document_title,question_text,short_answer,yes_no_answer
The Hunger Games (novel),when was the first hunger games book published,"[{'short_answer1': [{'end_byte': 57849, 'end_token': 102, 'start_byte': 57831, 'start_token': 98}]}, {'short_answer2': [{'end_byte': 60980, 'end_token': 375, 'start_byte': 60962, 'start_token': 371}]}, {'short_answer3': [{'end_byte': 59040, 'end_token': 184, 'start_byte': 59036, 'start_token': 183}]}, {'short_answer4': [{'end_byte': 60980, 'end_token': 375, 'start_byte': 60962, 'start_token': 371}]}]",NONE
The Ocean at the End of the Lane,the ocen at the end of the lane,[],NONE
The Hound of the Baskervilles (2002 film),sherlock holmes hound of the baskervilles movie 2002,[],NONE
Non-volatile memory,which of the below feature makes the ram not suitable for the persistent storage,[],NONE
Belonging (album),keith jarrett's long as you know you're living yours,[],NONE
Adverse event,mandatory elements in the definition of an adverse event (ae),"[{'short_answer1': [{'end_byte': 43594, 'end_token': 160, 'start_byte': 43351, 'start_token': 119}]}]",NONE
National debt of the United States,how much is the united states in debt to china,"[{'short_answer1': [{'end_byte': 58168, 'end_token': 792, 'start_byte': 58154, 'start_token': 790}]}, {'short_answer2': [{'end_byte': 58168, 'end_token': 792, 'start_byte': 58154, 'start_token': 790}]}, {'short_answer3': [{'end_byte': 58168, 'end_token': 792, 'start_byte': 58154, 'start_token': 790}]}]",NONE
Grease (film),where did the race in grease take place,"[{'short_answer1': [{'end_byte': 76734, 'end_token': 3611, 'start_byte': 76603, 'start_token': 3599}]}, {'short_answer2': [{'end_byte': 76734, 'end_token': 3611, 'start_byte': 76600, 'start_token': 3598}]}, {'short_answer3': [{'end_byte': 54645, 'end_token': 914, 'start_byte': 54633, 'start_token': 912}]}, {'short_answer4': [{'end_byte': 76734, 'end_token': 3611, 'start_byte': 76600, 'start_token': 3598}]}]",NONE
IEEE 802.11,what is the maximum data rate for the 802.11a standard select one,"[{'short_answer1': [{'end_byte': 76620, 'end_token': 2276, 'start_byte': 76610, 'start_token': 2272}]}, {'short_answer2': [{'end_byte': 76620, 'end_token': 2276, 'start_byte': 76610, 'start_token': 2272}]}, {'short_answer3': [{'end_byte': 76620, 'end_token': 2276, 'start_byte': 76610, 'start_token': 2272}]}]",NONE
Partial charge,use partial charges to indicate all polar bonds in the following molecules,[],NONE
Centipede,what is the life cycle of a centipede,[],NONE
List of Olympic Games host cities,where are the summer olympics held this year,"[{'short_answer1': [{'end_byte': 57908, 'end_token': 210, 'start_byte': 57804, 'start_token': 204}]}]",NONE
Northern coast of Egypt,which is the nearest country north of egypt,[],NONE
Substitute good,a good that can be used in place of another good,"[{'short_answer1': [{'end_byte': 57519, 'end_token': 84, 'start_byte': 57504, 'start_token': 82}]}, {'short_answer2': [{'end_byte': 57519, 'end_token': 84, 'start_byte': 57504, 'start_token': 82}]}, {'short_answer3': [{'end_byte': 57519, 'end_token': 84, 'start_byte': 57504, 'start_token': 82}]}, {'short_answer4': [{'end_byte': 57519, 'end_token': 84, 'start_byte': 57499, 'start_token': 81}]}]",NONE
Lord's Prayer,where in the bible can i find the lord's prayer,"[{'short_answer1': [{'end_byte': 147271, 'end_token': 178, 'start_byte': 147145, 'start_token': 166}, {'end_byte': 147540, 'end_token': 211, 'start_byte': 147357, 'start_token': 185}]}, {'short_answer2': [{'end_byte': 147162, 'end_token': 169, 'start_byte': 147081, 'start_token': 165}, {'end_byte': 147371, 'end_token': 188, 'start_byte': 147299, 'start_token': 184}]}]",NONE
Declaration on the Rights of Indigenous Peoples,what is the un declaration on the rights of indigenous peoples,[],NONE
United States presidential elections in Nebraska,when was the last time nebraska voted democrat,"[{'short_answer1': [{'end_byte': 65415, 'end_token': 709, 'start_byte': 65411, 'start_token': 708}]}]",NONE
Selena Gomez,what is selena gomez most popular tv show,[],NONE
Wipro,who become the ceo of it wipro company in 2016,"[{'short_answer1': [{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}]}, {'short_answer2': [{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}]}, {'short_answer3': [{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}]}, {'short_answer4': [{'end_byte': 83967, 'end_token': 2352, 'start_byte': 83947, 'start_token': 2349}]}]",NONE
Electroencephalography,4 types of brain wave classifications as recognized by an eeg machine,[],NONE
2018 Winter Olympics,when do they announce the next winter olympics,[],NONE
List of regions of the United States,when was each region added to the united states,[],NONE
Eric van der Woodsen,who does eric end up with in gossip girl,"[{'short_answer1': [{'end_byte': 77348, 'end_token': 2578, 'start_byte': 77343, 'start_token': 2577}]}]",NONE
She's the Man,who plays unis in she's the man,"[{'short_answer1': [{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}]}, {'short_answer2': [{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}]}, {'short_answer3': [{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}]}, {'short_answer4': [{'end_byte': 68199, 'end_token': 1318, 'start_byte': 68186, 'start_token': 1316}]}]",NONE
You Need a Mess of Help to Stand Alone (album),saint etienne you need a mess of help to stand alone,[],NONE
Jingle All the Way,who played booster in jingle all the way,"[{'short_answer1': [{'end_byte': 62002, 'end_token': 1955, 'start_byte': 61986, 'start_token': 1953}]}, {'short_answer2': [{'end_byte': 62002, 'end_token': 1955, 'start_byte': 61986, 'start_token': 1953}]}]",NONE
Politics of New Zealand,what does left and right mean in nz politics,[],NONE
Comedians in Cars Getting Coffee,season 10 of comedians in cars getting coffee,[],NONE
Dog and pony show,where does the term dog and pony show come from,[],NONE
History of Islam,who is recognized as the founder of islam,"[{'short_answer1': [{'end_byte': 96964, 'end_token': 2200, 'start_byte': 96894, 'start_token': 2196}]}, {'short_answer2': [{'end_byte': 67296, 'end_token': 458, 'start_byte': 67288, 'start_token': 457}]}]",NONE
Cars 3,where is cars 3 supposed to take place,[],NONE
Pixel,each dot that makes up a satellite image is called a pixel. true or false,[],NONE
Air Bud: World Pup,who plays emma in air bud world pup,"[{'short_answer1': [{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}]}, {'short_answer2': [{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}]}, {'short_answer3': [{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}]}, {'short_answer4': [{'end_byte': 63426, 'end_token': 815, 'start_byte': 63406, 'start_token': 812}]}]",NONE
Kyoto,why do tokyo and kyoto have the same letters,[],NONE
Sasuke Uchiha,how old was sasuke when his clan died,"[{'short_answer1': [{'end_byte': 93156, 'end_token': 3015, 'start_byte': 93151, 'start_token': 3014}]}, {'short_answer2': [{'end_byte': 93156, 'end_token': 3015, 'start_byte': 93151, 'start_token': 3014}]}, {'short_answer3': [{'end_byte': 93156, 'end_token': 3015, 'start_byte': 93151, 'start_token': 3014}]}]",NONE
Training camp (National Football League),how long is training camp for nfl players,[],NONE
Speaker of the National Assembly of Pakistan,the last speaker of the national assembly during ayub’s government was,[],NONE
Air pollution,where do some of the natural air pollutants come from,"[{'short_answer1': [{'end_byte': 70527, 'end_token': 1026, 'start_byte': 70513, 'start_token': 1024}]}, {'short_answer2': [{'end_byte': 92025, 'end_token': 2690, 'start_byte': 92021, 'start_token': 2689}, {'end_byte': 92350, 'end_token': 2716, 'start_byte': 92232, 'start_token': 2710}, {'end_byte': 92669, 'end_token': 2732, 'start_byte': 92541, 'start_token': 2725}, {'end_byte': 93332, 'end_token': 2806, 'start_byte': 93323, 'start_token': 2805}, {'end_byte': 93356, 'end_token': 2809, 'start_byte': 93346, 'start_token': 2808}, {'end_byte': 94218, 'end_token': 2904, 'start_byte': 94197, 'start_token': 2902}]}]",NONE
New Birth Missionary Baptist Church,who is the pastor of new birth missionary baptist church now,"[{'short_answer1': [{'end_byte': 58915, 'end_token': 434, 'start_byte': 58899, 'start_token': 431}]}, {'short_answer2': [{'end_byte': 58915, 'end_token': 434, 'start_byte': 58899, 'start_token': 431}]}, {'short_answer3': [{'end_byte': 59034, 'end_token': 444, 'start_byte': 58899, 'start_token': 431}]}]",NONE
Commonwealth (U.S. insular area),what's the difference between commonwealth and territory,[],NONE
Mountain biking,what are the different types of mountain biking,[],NONE
Canadian Tire money,how much canadian tire money do you get,[],NONE
Dara,what is the origin of the name dara,[],NONE
Super Bowl LII halftime show,who is doing 2018 super bowl half time show,"[{'short_answer1': [{'end_byte': 58098, 'end_token': 195, 'start_byte': 58081, 'start_token': 193}]}, {'short_answer2': [{'end_byte': 58098, 'end_token': 195, 'start_byte': 58081, 'start_token': 193}]}, {'short_answer3': [{'end_byte': 56160, 'end_token': 70, 'start_byte': 56143, 'start_token': 68}]}, {'short_answer4': [{'end_byte': 58098, 'end_token': 195, 'start_byte': 58081, 'start_token': 193}]}]",NONE
Super Bowl LII halftime show,who is playing the halftime show for the superbowl,"[{'short_answer1': [{'end_byte': 58079, 'end_token': 195, 'start_byte': 58062, 'start_token': 193}]}, {'short_answer2': [{'end_byte': 58079, 'end_token': 195, 'start_byte': 58062, 'start_token': 193}]}, {'short_answer3': [{'end_byte': 56141, 'end_token': 70, 'start_byte': 56124, 'start_token': 68}]}]",NONE
Document,collection of all types of documents used in the banks and office definition,[],NONE
2009 National Artist of the Philippines controversy,who is the national artist for visual who was conferred and died of the same year 1999,[],NONE
They Think It's All Over (TV series),who hosted they think it's all over,"[{'short_answer1': [{'end_byte': 45663, 'end_token': 456, 'start_byte': 45651, 'start_token': 454}, {'end_byte': 46749, 'end_token': 528, 'start_byte': 46741, 'start_token': 526}]}, {'short_answer2': [{'end_byte': 39607, 'end_token': 71, 'start_byte': 39598, 'start_token': 69}, {'end_byte': 39680, 'end_token': 73, 'start_byte': 39668, 'start_token': 71}, {'end_byte': 39741, 'end_token': 75, 'start_byte': 39733, 'start_token': 73}]}, {'short_answer3': [{'end_byte': 39607, 'end_token': 71, 'start_byte': 39598, 'start_token': 69}, {'end_byte': 39680, 'end_token': 73, 'start_byte': 39668, 'start_token': 71}, {'end_byte': 39741, 'end_token': 75, 'start_byte': 39733, 'start_token': 73}]}]",NONE
Proof of Life,where does the movie proof of life take place,"[{'short_answer1': [{'end_byte': 51692, 'end_token': 580, 'start_byte': 51588, 'start_token': 571}]}, {'short_answer2': [{'end_byte': 51692, 'end_token': 580, 'start_byte': 51588, 'start_token': 571}]}, {'short_answer3': [{'end_byte': 51692, 'end_token': 580, 'start_byte': 51588, 'start_token': 571}]}]",NONE
Monkey's uncle,where did the saying monkey's uncle come from,"[{'short_answer1': [{'end_byte': 55195, 'end_token': 137, 'start_byte': 55158, 'start_token': 131}]}]",NONE
List of tie-breaking votes cast by vice presidents of the United States,who breaks a tie in the us senate,"[{'short_answer1': [{'end_byte': 73212, 'end_token': 357, 'start_byte': 73077, 'start_token': 350}]}, {'short_answer2': [{'end_byte': 73212, 'end_token': 357, 'start_byte': 73077, 'start_token': 350}]}, {'short_answer3': [{'end_byte': 73212, 'end_token': 357, 'start_byte': 73177, 'start_token': 351}]}, {'short_answer4': [{'end_byte': 73212, 'end_token': 357, 'start_byte': 73077, 'start_token': 350}]}]",NONE
Robin and the 7 Hoods,robin and the 7 hoods mr booze scene,[],NONE
Joule,derived s.i. unit of joule (j) in terms of fundamental units,[],NONE
Coming to America,where was the movie coming to america shot,[],NONE
U.S. Route 1,where does us highway 1 start and end,"[{'short_answer1': [{'end_byte': 53860, 'end_token': 382, 'start_byte': 53660, 'start_token': 370}, {'end_byte': 53952, 'end_token': 389, 'start_byte': 53872, 'start_token': 384}]}, {'short_answer2': [{'end_byte': 53739, 'end_token': 375, 'start_byte': 53723, 'start_token': 371}, {'end_byte': 53952, 'end_token': 389, 'start_byte': 53935, 'start_token': 385}]}]",NONE
Charlie's Angels: Full Throttle,who played in charlie's angels full throttle,[],NONE
List of National Basketball Association single-game scoring leaders,who scored the most points in a single game in the nba,"[{'short_answer1': [{'end_byte': 65473, 'end_token': 456, 'start_byte': 65457, 'start_token': 454}]}, {'short_answer2': [{'end_byte': 58616, 'end_token': 110, 'start_byte': 58600, 'start_token': 108}]}, {'short_answer3': [{'end_byte': 58616, 'end_token': 110, 'start_byte': 58600, 'start_token': 108}]}, {'short_answer4': [{'end_byte': 65473, 'end_token': 456, 'start_byte': 65457, 'start_token': 454}]}]",NONE
Natural gas in the United States,where is natural gas found in the us,"[{'short_answer1': [{'end_byte': 72227, 'end_token': 1213, 'start_byte': 72215, 'start_token': 1212}, {'end_byte': 72245, 'end_token': 1216, 'start_byte': 72232, 'start_token': 1214}, {'end_byte': 72476, 'end_token': 1235, 'start_byte': 72471, 'start_token': 1234}, {'end_byte': 72711, 'end_token': 1252, 'start_byte': 72702, 'start_token': 1251}, {'end_byte': 73218, 'end_token': 1290, 'start_byte': 73210, 'start_token': 1289}, {'end_byte': 73387, 'end_token': 1310, 'start_byte': 73377, 'start_token': 1308}, {'end_byte': 73400, 'end_token': 1312, 'start_byte': 73392, 'start_token': 1311}, {'end_byte': 73869, 'end_token': 1348, 'start_byte': 73862, 'start_token': 1347}]}]",NONE
"Indian general election, 1951–52",when were the first general elections held in independent india,"[{'short_answer1': [{'end_byte': 62735, 'end_token': 223, 'start_byte': 62726, 'start_token': 220}]}, {'short_answer2': [{'end_byte': 62735, 'end_token': 223, 'start_byte': 62726, 'start_token': 220}]}, {'short_answer3': [{'end_byte': 62735, 'end_token': 223, 'start_byte': 62726, 'start_token': 220}]}]",NONE
Tower of London,what was the tower of london originally used for,"[{'short_answer1': [{'end_byte': 153290, 'end_token': 487, 'start_byte': 153273, 'start_token': 484}]}, {'short_answer2': [{'end_byte': 153290, 'end_token': 487, 'start_byte': 153273, 'start_token': 484}]}, {'short_answer3': [{'end_byte': 153290, 'end_token': 487, 'start_byte': 153270, 'start_token': 483}]}]",NONE
Marjory Stoneman Douglas High School,stoneman douglas high school in parkland florida demographics,[],NONE
Zippo,what type of fuel goes in a zippo,"[{'short_answer1': [{'end_byte': 51465, 'end_token': 672, 'start_byte': 51459, 'start_token': 671}]}, {'short_answer2': [{'end_byte': 60103, 'end_token': 1254, 'start_byte': 60090, 'start_token': 1252}]}]",NONE
G. Sankara Kurup,first jnanpith award was an autor of which language,"[{'short_answer1': [{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}]}, {'short_answer2': [{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}]}, {'short_answer3': [{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}]}, {'short_answer4': [{'end_byte': 46093, 'end_token': 251, 'start_byte': 46084, 'start_token': 250}]}]",NONE
War of the Worlds (2005 film),what happened to the son in war of the worlds,[],NONE
Karl Urban,who played scotty in the new star trek movie,[],NONE
Dennis Quaid,who played the agent in i can only imagine,[],NONE
List of Batman television series cast members,who played the mad hatter in the batman tv show,"[{'short_answer1': [{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}, {'end_byte': 58076, 'end_token': 887, 'start_byte': 58062, 'start_token': 885}, {'end_byte': 58215, 'end_token': 893, 'start_byte': 58200, 'start_token': 891}]}, {'short_answer2': [{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}]}, {'short_answer3': [{'end_byte': 57940, 'end_token': 881, 'start_byte': 57929, 'start_token': 879}]}]",NONE
Beep Beep (song),hey buddy how can i get this car out of second gear,[],NONE
Cracker Barrel,how many cracker barrels in the united states,"[{'short_answer1': [{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}]}, {'short_answer2': [{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}]}, {'short_answer3': [{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}]}, {'short_answer4': [{'end_byte': 64950, 'end_token': 354, 'start_byte': 64947, 'start_token': 353}]}]",NONE
C4 carbon fixation,in photosynthesis the carbon in co2 is initially fixed to what molecule,"[{'short_answer1': [{'end_byte': 51957, 'end_token': 646, 'start_byte': 51939, 'start_token': 643}]}]",NONE
F Is for Family,who voices randy in f is for family,"[{'short_answer1': [{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}]}, {'short_answer2': [{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}]}, {'short_answer3': [{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}]}, {'short_answer4': [{'end_byte': 70823, 'end_token': 1112, 'start_byte': 70812, 'start_token': 1110}]}]",NONE
You Are the Apple of My Eye,you are the apple of my eye poster,[],NONE
The Lip Reader,who played the ice cream man in this is us,[],NONE
Cadbury,how many countries does cadbury sell its products,"[{'short_answer1': [{'end_byte': 45913, 'end_token': 213, 'start_byte': 45881, 'start_token': 208}]}, {'short_answer2': [{'end_byte': 45893, 'end_token': 211, 'start_byte': 45881, 'start_token': 208}]}, {'short_answer3': [{'end_byte': 45893, 'end_token': 211, 'start_byte': 45881, 'start_token': 208}]}]",NONE
Western Conference (NBA),who is playing in the western conference finals,[],NONE
False awakening,what does it mean to dream about waking up,[],NONE
Ethiopian Airlines Flight 961,ethiopia flight 961 crashes in to the sea,"[{'short_answer1': [{'end_byte': 48433, 'end_token': 265, 'start_byte': 48417, 'start_token': 262}]}]",NONE
ISTJ,what does istj mean in a personality test,"[{'short_answer1': [{'end_byte': 42204, 'end_token': 44, 'start_byte': 42180, 'start_token': 39}, {'end_byte': 42231, 'end_token': 50, 'start_byte': 42206, 'start_token': 45}, {'end_byte': 42257, 'end_token': 56, 'start_byte': 42233, 'start_token': 51}, {'end_byte': 42288, 'end_token': 62, 'start_byte': 42262, 'start_token': 57}]}]",NONE
A.P. Bio,who plays the ex girlfriend on ap bio,[],NONE
Vertebral column,where is the vertebral column located in the human body,[],NONE
Skin in the game (phrase),where does the term skin in the game come from,[],NONE
Mount St. Helens,where is mount st. helens located on a map,[],NONE
Great Wall of China,when was the great wall of cina built,[],NONE
Habitat fragmentation,extinction can be the result of habitat fragmentation,[],NONE
"Live by the sword, die by the sword",if you live by the sword you die by the sword lyrics,[],NONE
Weaver (surname),where did the last name weaver come from,[],NONE
Public land,list five types of public lands in the united states,[],NONE
Sing (2016 American film),who does the voice of ash in sing,"[{'short_answer1': [{'end_byte': 78583, 'end_token': 1496, 'start_byte': 78565, 'start_token': 1494}]}, {'short_answer2': [{'end_byte': 78583, 'end_token': 1496, 'start_byte': 78565, 'start_token': 1494}]}, {'short_answer3': [{'end_byte': 78583, 'end_token': 1496, 'start_byte': 78565, 'start_token': 1494}]}]",NONE
"Paris Peace Conference, 1919",after wwi some colonies that had participated made demands for independence primarily because,[],NONE
1989 Loma Prieta earthquake,facts about the loma prieta earthquake of 1989,[],NONE
List of National Basketball Association career scoring leaders,who scored the most points in their nba career,"[{'short_answer1': [{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}]}, {'short_answer2': [{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}]}, {'short_answer3': [{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}]}, {'short_answer4': [{'end_byte': 63776, 'end_token': 343, 'start_byte': 63757, 'start_token': 339}]}]",NONE
Seattle Seahawks,when did the 49ers last won a superbowl,[],NONE
List of U.S. states and territories by population density,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,[],NONE
Mary River (Queensland),where does the mary river start and finish,[],NONE
Mary's Boy Child,who sang mary's boy child in 1957 and 1978,[],NONE
The Haves and the Have Nots (TV series),who plays charles on have and have nots,"[{'short_answer1': [{'end_byte': 79097, 'end_token': 1773, 'start_byte': 79087, 'start_token': 1771}]}, {'short_answer2': [{'end_byte': 79097, 'end_token': 1773, 'start_byte': 79087, 'start_token': 1771}]}, {'short_answer3': [{'end_byte': 133514, 'end_token': 10498, 'start_byte': 133504, 'start_token': 10496}]}, {'short_answer4': [{'end_byte': 79097, 'end_token': 1773, 'start_byte': 79087, 'start_token': 1771}]}]",NONE
